,Year,FG%,2P%,3P%,FT%,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1982,1.7928901242874586,0.6391540342767756,-2.266733093257836,-0.6656792584305983,1.628080088564095,1.3328973554771755,1.8009065349458502,1.7402879706691796,-1.5805873506401473,-1.6013544593256142,1.008292994843848,1.1402848976177724,1.3985258696844278,-0.6526912995011285,1.0791259500130446,1.3420889133872285,1.2022351919128222,2.3698559559337453,1.8337053867518434,2.154373196392823,1.1914955068672515
1,1983,1.639147845149421,0.48183985760235803,-3.1405462768949635,-1.2430277143228867,1.604161107164172,1.4057843329692679,1.7972664403420977,1.765888927757823,-1.6039139726144547,-1.6018407742230447,0.7937476650485034,1.0326806054274036,1.4204095201008091,-0.31086461850987684,1.5659964350487194,1.5167334269689947,1.5691918276372285,2.4384995611647415,2.7182582177764587,1.7102568317858107,1.0742560624203044
2,1984,1.80280898100604,0.7564958543157608,-2.3945511895685097,0.5538602445124787,1.5515393480843431,1.2036794452418906,1.7341617602914565,1.6446307474767934,-1.5503145790112687,-1.5447085000729002,1.699570667757971,1.6367488388271316,1.1133575895918397,-1.3131870365563914,-0.22921044455687944,1.4732698602405025,0.8100845185118153,0.8204717235768607,1.8938436750719843,2.0094328944551862,1.3548641126580334
3,1985,1.7766231992689803,0.7860552440965725,-1.6108795826801143,0.7623541145452795,1.8032086306400539,1.631875295284067,1.8200097514263391,1.7261321473378126,-1.4408349665451858,-1.4411428795160839,1.5086884258077,1.3972983679299433,1.4086409792102208,-0.7638478991518928,0.9485654496780953,1.7340512606114706,0.9426270645495873,1.6402724946213871,1.8242098675434009,1.4716733894039051,1.6026133963912366
4,1986,1.5758655392848615,0.6136254703751552,-1.944205967510473,0.37279977843136,1.64534335340056,1.532377504402897,1.7290365070893718,1.6717978807637992,-1.436273316025766,-1.4206009382486162,1.8418647026663528,1.8326628604702873,1.3187721215002797,-0.6752448124737479,0.9485654496780953,1.6262616151248035,1.3282053802958282,0.30270281554873746,1.8938436750719843,1.6534512502663103,1.5560877093051888
5,1987,1.0783356862807407,0.18994088351681102,-0.891036432461361,0.91049449588438,1.3593555323145246,1.4577541612420197,1.4407410144722235,1.4736765916707515,-1.2127524405741805,-1.1997750696233385,1.8800411510564075,1.7591951023541041,1.4771124898463677,-0.5777814171277895,1.2970909694006854,1.4871782015936192,0.9667257092837248,1.0793561775909224,0.9587611168310115,1.4338030017242376,1.3920846623268728
6,1988,1.1350715467110326,0.2835456178227266,-0.6960050370818968,0.8391676456100071,1.2243692807619169,1.196572460178949,1.3497677701352588,1.3590445414597219,-1.1876633627173698,-1.1800890425753487,1.4705119774176454,1.3537619186759078,1.2631390191084102,-0.8258700598265947,0.6421033547496051,1.504563628285016,0.7980351961447433,1.0146350640874082,0.8543104055381365,1.1156917452150295,1.1361933833536086
7,1989,0.9995055725097985,0.3448197695558734,-0.44722919468024813,1.5568940764959602,1.3496319463976008,1.5046158440007837,1.297153842732628,1.2921206277527055,-0.9667084156829584,-0.9459965035481648,1.6841699414188007,1.4357328895370205,1.4444815355588292,-0.558676376562813,1.2937108727654414,1.2374800107384185,1.9344369118890414,1.0092416379621116,1.1546062005051507,0.645152178295158,1.4431902217354515
8,1990,0.9995055725098022,0.31710784163635847,-0.1247625125471554,1.0322302259199845,0.9335196667174208,0.8266760969812117,1.0268768184040513,1.0119595657304499,-0.8961453842106787,-0.9082827832524233,1.1993724291928278,1.0428844607213175,0.8306451413793144,-0.39254558904128845,0.6345920288935152,1.05493303047874,0.499814467559761,0.2406784151078675,0.4784743640110967,0.4569836895118087,0.8903342056582721
9,1991,1.1140683676094336,0.5757525022184925,-0.3657814244507565,1.731782026687946,0.8970562195289504,0.6734317315615527,1.017266968650147,0.9423851999954327,-0.9175281210204604,-0.8938392307987351,1.2742069445028774,0.9791103651343528,0.8226211362266416,-0.6002090734431935,0.3303833317218565,0.79741139761241,0.9064790974483747,0.018199587439534648,0.5484190367518622,0.31852008455802233,0.8619826150902127
