,Year,2P,2P%,2PA,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,ORB,PF,PTS,STL,TOV,TRB
4,1982,1.9345102079643632,0.6813290700283305,1.7885133800596267,-1.4892649411127454,-2.7649336444217436,-1.5610792677601089,1.2836090738456487,2.3690196005503696,-1.0505535639551826,1.6880003454659909,1.7647239588735042,1.3107505985589492,0.445169977304302,-0.9660603363145476,0.7760914673111239,0.9326024192460064,2.47474030663223,1.0938329181511415,2.68246964489703,1.9826836567537993,0.1633224731873195
14,1983,1.98742147564861,0.5002765898809413,1.8917229600782532,-1.5332940394755183,-3.8516886970492403,-1.578434742357793,1.0992661229532275,1.4926919960989948,-0.47430766359804966,1.7309156084863102,1.5739429903466386,1.5597932122851488,0.6520991410665481,-0.6792611739711671,0.8943727871954386,1.8281700853811604,1.6811526977543831,1.187872852290831,2.3686339105802596,3.1576073052004965,1.8498045332737623
29,1984,1.802232038753747,0.7718553101020252,1.614933631846482,-1.3865303782662748,-2.0694104107401468,-1.3990948381817243,1.191437598399438,0.058701370633105675,-0.4422940024670973,1.5735596440784645,1.693181095675927,1.2040180498191517,1.1694220504721604,0.713763328839538,0.8943727871954386,0.8302518288305606,1.8032430991202053,1.231275898816842,0.4228523578162797,2.2029818408375554,0.6018078088097985
45,1985,1.9256916633503216,1.269749630507346,1.5867855645686737,-1.2397667170570312,-0.28713212443105357,-1.29496199059562,1.8366379265229127,-0.02096477522611008,0.10193823675908562,1.9311868359144793,2.1939811380589465,1.3463281148055504,0.9883590321801954,1.1849333812608036,0.5395288275424917,0.5999630003958071,0.7044294868278039,1.6146694764632747,-0.016517670227201162,1.6155200166142067,0.90537457962536
59,1986,1.6964095033852558,0.04764538951246796,1.7603653127818184,-1.1957376186942583,-0.6783639433769535,-1.2255400922048836,1.4863863198273137,1.5723581419582107,0.13395189789003567,1.5735596440784645,0.8823619794367482,1.9274275468333484,0.9883590321801954,0.2630789308713687,0.8943727871954386,1.1884788952846217,0.8570424885350821,1.2891466275181909,0.2973180640895696,1.0647745564048205,1.681156327265118
77,1987,1.4318531649640258,0.9529077902494145,1.1880212781330695,-0.9315630285176199,0.4953315134607439,-1.0057040806342188,1.7997693363444291,1.0943612668029148,-0.21819837455043323,1.4305087673440586,1.7170287167417826,0.9431162640107493,1.5574142325263698,1.7585317059475647,0.9535134471375987,0.2161482863378839,0.18554528102305717,1.4265896081838914,-0.4558876982706798,0.7343272802791851,0.06213354958213387
91,1988,1.246663728069165,0.11554006956774146,1.2630827908738889,-1.2397667170570312,-1.1239335149542258,-1.2428955668025676,0.6937116309899013,-0.9769585255367034,-0.6984032915147115,0.8153899973861158,0.8823619794367482,0.6466369619557456,2.1523355783428233,0.713763328839538,1.8800504528980702,0.8302518288305606,0.5823390854619797,0.8189469568197365,-0.6441891388607427,0.7343272802791851,0.3657003203976955
106,1989,1.0173815681040983,0.20606630964143613,1.0003674962810205,-0.9609157607594686,-0.5153506854828278,-0.9709931314388507,0.5831058604544482,-0.6582939420998389,0.005897253366228601,0.7152543836720293,0.8346667373050317,0.5399044132159482,1.8419418326994552,1.2259046901670054,1.3872116200467557,0.8046641812266987,0.3381582827303354,0.7683100692060576,-0.7697234325874495,0.8077600083071047,1.0740227856340043
127,1990,0.9203775773496476,-0.9028801312613259,1.2630827908738889,-0.9315630285176199,-0.2653970233785036,-0.9420673404427106,0.06694559795566912,-1.136290817255135,-0.5703486469909044,0.5865085946110653,-0.23847621065858732,1.2633139102301483,1.5574142325263698,-0.1466341581906034,1.6237742598153866,1.7258194949657146,1.8337656994616613,0.565762518751338,-0.7069562857240955,0.3671636401395926,1.647426686063391
137,1991,0.982107389647935,0.22869786965985728,0.9487627062717074,-0.9022102962757712,-0.1893241696945801,-0.8957860748488864,0.5831058604544482,-0.7379600879590547,-1.434717497526604,0.7152543836720293,0.7869714951733153,0.5636227573803468,0.496902268244864,0.9595911822767167,0.145257761261439,0.7279012384151148,-0.8827457309278902,0.4066180148226311,0.8622223858597584,-0.514029096195429,-0.5449999920489846
158,1992,1.043837201946221,0.0023822694756256593,1.094194387207045,-0.7554466350665275,-0.4284102812726293,-0.7395868034697298,0.6752773359006589,-0.02096477522611008,-0.6663896303837614,0.9584408741205197,0.47695242131715876,1.2633139102301516,0.6262329955962652,-0.2695480849091905,0.6775237007408607,1.4955306665309611,0.5823390854619797,0.7683100692060576,0.6111537984063404,-0.3671636401395926,1.2764006328443755
173,1993,0.6999139619986213,-0.08814397059807402,0.7564175798733574,-0.4325665804061916,0.44099376082936786,-0.47346952630524064,0.3987629095620269,-0.3396293586629745,-1.434717497526604,0.7009492959985896,0.33386669492200954,0.9431162640107493,0.2899731044826179,-0.5153759383463783,0.4409610609722285,1.3675924285116534,0.09397747999869113,0.5729963598390081,1.4271267076299448,-0.1468654560558365,0.33197067919596374
183,1994,-0.13784777633527423,-0.6539329710586657,0.03864186428926964,-0.2564501869550994,-0.05891356337928052,-0.17264129994538374,0.25128854884809043,-0.25996321280375734,0.005897253366228601,-0.4720678932235389,-0.6200381477123159,-0.26651928837365413,-0.692940423388045,-0.4539189749870848,-0.5644301580444547,0.3440865243571916,0.4907712844376136,-0.8014334468180146,0.9249895327231111,0.8811927363350243,0.4668892440028811
200,1995,-0.25248885631780577,0.9529077902494145,-0.5149367921742747,0.5067208513329673,0.5496692660921175,0.5100073675635227,0.6568430408114179,1.0943612668029148,-0.9865262416932803,0.08583052604064474,0.5008000423830169,-0.2546601162914514,-0.25321595039327366,-1.908400441157079,0.4803881676003343,0.11379769592243719,-0.3028163244402335,0.2691750341569286,0.3600852109529247,0.5140290961954304,-0.8822964040662732
224,1996,-0.47295247166883153,0.02501382949404681,-0.49148006944276923,0.4186626546074209,0.8648282313540903,0.35959325438359446,-0.02522587749054153,-1.5346215465512152,-1.1465945473480397,-0.34332210416257286,-0.0715428631975799,-0.5155619020998538,0.26410695901233877,-0.10566284928440621,0.283252634459808,0.651138295603529,0.9486102895594481,-0.07081549696349353,2.1803324699901943,0.5140290961954304,-0.34262214483861336
240,1997,-0.13784777633527295,0.2513294296782784,-0.21469074121099674,-0.050981061262158386,0.6040070187234923,-0.09743424335541921,0.6568430408114179,-1.4549554006919994,-1.1145808862170874,-0.27179666579536993,0.38156193705372593,-0.7408861716616546,-0.04628678663102943,0.09919369524657985,-0.1110184318212447,0.4208494671687755,0.30763568238887934,-0.32399993503189206,0.8622223858597561,-0.5874618242233486,-0.6124592744524384
256,1998,-0.19075904401951974,-0.8802485712429022,0.04333320883557193,-0.5940066077363596,0.08236459346229523,-0.5718172156921172,-0.062094467669026314,-1.2956231089735664,-1.2426355307408945,-0.8869154357533148,-0.4769524213171667,-1.072942989963253,0.8848944502990714,0.09919369524657985,0.8155185739392297,0.676725943207391,0.4907712844376136,-0.9388764274837171,-0.016517670227201162,-0.2570145480977145,-0.3763517860403403
271,1999,-0.8697869793006767,-1.9891950121456619,-0.4023445230630457,-0.4765956787689648,-0.04804601285300435,-0.4387585771098724,-1.481535189540671,1.0146951209436976,-0.3142393579432902,-1.873966485220716,-1.6693334746100768,-1.9149442077994534,-0.5377435505663608,-1.6625725877199002,0.026976441377124304,-0.24442937053162406,0.03293227931577899,-2.2771370287023953,-0.07928481709055397,0.2937309121116743,-0.6461889156541702
276,2000,-0.4553153824407499,-1.2197219715192573,-0.1537032621090816,0.06642986770523658,0.3649209071454419,0.06455018622296545,-0.6151233203462902,0.5366982457884016,0.7742251205090733,-0.6580340329782661,-1.0254477058319107,-0.24280094420925205,0.08304394072037367,-0.08517719483130988,0.1649713145754919,-0.09090348490845533,0.42972608375470145,-0.6205874196263014,-1.334627754357637,-0.9179091003489814,0.6692670912132523
292,2001,-0.39358557014246137,-1.2649850915561045,-0.06456771572935675,-0.32983201755972097,-0.1893241696945801,-0.2594186729338039,-1.0575464024881012,0.058701370633105675,0.10193823675908562,-0.9727459617939594,-1.1685334322270546,-0.6934494833328539,0.10891008619065283,-1.7035438966260974,0.736664360683018,0.5232000575842213,0.09397747999869113,-1.1124886135877603,-0.7069562857240955,-0.11014909204187673,0.8041856560201697
