,season,team_id,efg_pct-season,ts_pct-season,fg_pct-season,fg2_pct-season,fg3_pct-season,ft_pct-season,fg_per_g-season,fga_per_g-season,fg2_per_g-season,fg2a_per_g-season,fg3_per_g-season,fg3a_per_g-season,ft_per_g-season,fta_per_g-season,orb_per_g-season,drb_per_g-season,trb_per_g-season,ast_per_g-season,stl_per_g-season,blk_per_g-season,tov_per_g-season,pf_per_g-season,pts_per_g-season,bpm-season,efg_pct-playoffs,ts_pct-playoffs,fg_pct-playoffs,fg2_pct-playoffs,fg3_pct-playoffs,ft_pct-playoffs,fg_per_g-playoffs,fga_per_g-playoffs,fg2_per_g-playoffs,fg2a_per_g-playoffs,fg3_per_g-playoffs,fg3a_per_g-playoffs,ft_per_g-playoffs,fta_per_g-playoffs,orb_per_g-playoffs,drb_per_g-playoffs,trb_per_g-playoffs,ast_per_g-playoffs,stl_per_g-playoffs,blk_per_g-playoffs,tov_per_g-playoffs,pf_per_g-playoffs,pts_per_g-playoffs,bpm-playoffs
10,1982,SEA,0.5065999999999999,0.5463,0.4935672514619883,0.4976133651551313,0.22222222222222224,0.7429577464788734,42.2,85.5,41.7,83.8,0.4,1.8,21.1,28.4,12.2,29.6,42.1,26.4,8.3,5.3,16.2,23.9,105.4,1.5999999999999992,0.39691666666666664,0.48241666666666666,0.4428086070215176,0.44508670520231214,0.37499999999999994,0.765079365079365,39.1,88.3,38.5,86.5,0.6,1.6,24.099999999999998,31.5,16.0,31.700000000000003,47.6,27.1,8.2,4.3,14.8,26.5,102.5,-11.600000000000001
11,1982,WSB,0.46175000000000005,0.5093333333333333,0.47301587301587306,0.4786418400876233,0.21874999999999997,0.776173285198556,44.7,94.5,43.7,91.3,0.7,3.2,21.5,27.7,14.3,34.4,48.7,26.4,8.5,5.3,18.5,28.9,111.6,-6.3,0.4776363636363636,0.5054545454545454,0.43141592920353977,0.43317972350230416,0.39999999999999997,0.7722419928825623,39.0,90.4,37.6,86.8,1.4,3.5,21.7,28.099999999999998,15.0,29.7,44.5,21.9,7.8999999999999995,4.6,18.0,28.3,101.4,3.5999999999999996
12,1983,ATL,0.45972727272727276,0.5048181818181818,0.4652173913043478,0.46986607142857145,0.24000000000000005,0.7545126353790613,42.8,92.0,42.1,89.6,0.6000000000000001,2.5,20.9,27.7,14.4,29.8,44.1,25.5,7.0,9.3,17.6,25.5,106.9,-6.6,0.4530909090909091,0.5157272727272727,0.438908659549229,0.44096385542168676,0.25,0.7368421052631579,37.0,84.3,36.6,83.0,0.3,1.2,18.2,24.7,11.6,31.0,42.7,22.7,4.5,6.6,16.1,23.4,92.5,39.400000000000006
13,1983,BOS,0.4753636363636364,0.5161818181818182,0.49221183800623053,0.49840255591054305,0.20833333333333334,0.7299035369774919,47.4,96.3,46.8,93.9,0.5,2.4,22.7,31.1,16.2,32.5,48.8,29.3,10.2,6.6,19.9,26.3,117.5,0.7000000000000002,0.3996363636363636,0.45290909090909093,0.4343649946638207,0.4465478841870824,0.15384615384615385,0.7673469387755102,40.7,93.7,40.1,89.8,0.6,3.9,18.8,24.5,15.0,32.4,47.4,26.9,7.5,3.6,16.0,24.9,100.9,-23.099999999999998
14,1983,DEN,0.47150000000000003,0.5267499999999999,0.4956521739130435,0.5004906771344456,0.20000000000000004,0.8039772727272727,51.300000000000004,103.5,51.0,101.89999999999999,0.30000000000000004,1.5,28.3,35.2,14.1,31.0,45.2,31.2,10.2,4.0,19.9,27.1,130.8,-16.9,0.41983333333333334,0.45516666666666666,0.46919431279620855,0.4756335282651072,0.24137931034482757,0.7715231788079471,49.5,105.5,48.8,102.6,0.7,2.9,23.3,30.2,15.0,36.3,51.2,33.4,6.8,5.0,17.7,27.5,123.0,-32.1
15,1983,LAL,0.4920833333333334,0.524,0.5191570881226054,0.5257531584062196,0.11764705882352942,0.7266187050359711,54.2,104.4,54.1,102.9,0.2,1.7,20.2,27.8,17.3,32.8,50.4,33.8,11.8,6.5,21.6,27.3,129.20000000000002,-8.299999999999999,0.47058333333333335,0.51375,0.49547738693467336,0.503099173553719,0.25806451612903225,0.7428571428571429,49.3,99.5,48.7,96.8,0.8,3.1,20.8,28.0,16.7,32.1,48.9,30.8,10.2,8.3,18.8,29.4,119.8,-24.5
16,1983,MIL,0.48700000000000004,0.5339090909090909,0.4878048780487805,0.49564270152505446,0.24000000000000005,0.7475728155339806,46.0,94.3,45.5,91.8,0.6000000000000001,2.5,23.1,30.900000000000002,15.1,33.9,49.0,27.7,9.2,7.0,18.5,27.5,115.6,7.5,0.42427272727272725,0.5183636363636364,0.4623172103487064,0.4682814302191465,0.2173913043478261,0.7534722222222223,41.1,88.9,40.6,86.7,0.5,2.3,21.7,28.799999999999997,17.2,28.8,45.9,22.5,8.8,6.8,16.0,24.1,104.39999999999999,45.400000000000006
17,1983,NJN,0.4799090909090909,0.5253636363636364,0.5036674816625918,0.5068322981366459,0.15384615384615385,0.688212927756654,41.2,81.8,40.8,80.5,0.2,1.3,18.1,26.3,15.0,28.8,43.6,23.4,10.3,7.2,20.8,24.9,100.7,-2.4,0.4544545454545455,0.48863636363636365,0.4666666666666667,0.48255813953488375,0.125,0.74,42.0,90.0,41.5,86.0,0.5,4.0,18.5,25.0,17.0,26.0,43.0,26.0,9.0,5.5,16.5,28.5,103.0,-14.0
18,1983,NYK,0.46399999999999997,0.5069166666666667,0.47923681257014594,0.48512585812356984,0.23529411764705885,0.7114754098360655,42.7,89.1,42.4,87.39999999999999,0.4,1.7,21.7,30.5,14.299999999999999,29.4,43.7,26.1,9.2,5.1000000000000005,19.1,28.3,107.7,0.3999999999999999,0.46318181818181814,0.516,0.48152562574493446,0.4851485148514852,0.41935483870967744,0.762987012987013,40.4,83.89999999999999,39.2,80.8,1.3,3.1,23.5,30.8,12.9,26.8,39.7,23.3,7.7,4.2,17.4,26.3,105.3,16.8
19,1983,PHI,0.48840000000000006,0.5281,0.5,0.5046620046620047,0.23076923076923075,0.7455089820359281,43.5,87.0,43.300000000000004,85.8,0.3,1.3,24.9,33.4,15.899999999999999,30.7,46.2,25.0,10.0,6.9,19.6,23.3,112.1,4.599999999999999,0.51525,0.555,0.4971815107102593,0.5005688282138794,0.11111111111111112,0.7278481012658228,44.1,88.7,44.0,87.9,0.1,0.9,23.0,31.6,16.0,31.1,46.8,25.4,10.0,6.9,18.8,25.0,111.2,57.699999999999996
