,season,team_id,efg_pct,ts_pct,fg_pct,fg2_pct,fg3_pct,ft_pct,fg_per_g,fga_per_g,fg2_per_g,fg2a_per_g,fg3_per_g,fg3a_per_g,ft_per_g,fta_per_g,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,bpm
79,1985,GSW,0.45849999999999996,0.5086666666666667,0.45870646766169154,0.469109947643979,0.2692307692307692,0.7573099415204677,46.1,100.5,44.8,95.5,1.4,5.2,25.9,34.2,17.599999999999998,28.4,45.9,23.6,10.6,3.8,19.400000000000002,29.3,120.1,-33.1
80,1985,HOU,0.47807692307692307,0.5205384615384616,0.4974823766364551,0.5062630480167015,0.19444444444444445,0.7072368421052632,49.4,99.30000000000001,48.5,95.8,0.7000000000000001,3.6,21.5,30.400000000000002,16.400000000000002,31.0,47.6,33.6,9.3,7.300000000000001,21.7,27.8,120.6,-7.899999999999999
81,1985,IND,0.44166666666666665,0.48813333333333336,0.46522556390977443,0.47126436781609193,0.19047619047619047,0.736986301369863,49.5,106.4,49.2,104.4,0.4,2.1,26.9,36.5,18.3,38.1,56.4,31.9,11.3,5.5,23.9,36.3,126.5,-28.5
82,1985,KCK,0.4959230769230769,0.5403846153846155,0.5005192107995847,0.5091496232508073,0.29411764705882354,0.7854984894259819,48.2,96.3,47.3,92.9,1.0,3.4,26.0,33.1,14.9,30.3,45.5,30.9,8.8,3.8,20.6,29.8,123.2,-24.3
83,1985,LAC,0.47900000000000004,0.5243846153846154,0.4913705583756345,0.49583333333333335,0.26086956521739135,0.7532467532467532,48.4,98.5,47.6,96.0,0.6000000000000001,2.3,23.2,30.8,16.0,34.1,49.9,27.8,7.9,6.800000000000001,22.0,25.7,120.4,-27.7
84,1985,LAL,0.47585714285714287,0.508,0.5346534653465347,0.544238683127572,0.3055555555555556,0.7467948717948717,54.0,101.0,52.9,97.2,1.1,3.6,23.299999999999997,31.2,14.9,35.5,50.300000000000004,35.2,9.4,7.6,22.2,28.0,132.6,-30.3
85,1985,MIL,0.502090909090909,0.5455454545454546,0.49635036496350365,0.5038588754134509,0.31481481481481477,0.7598784194528876,47.6,95.9,45.699999999999996,90.7,1.7,5.4,25.0,32.9,15.700000000000001,30.0,45.9,31.1,9.4,6.1000000000000005,18.6,29.9,122.0,7.800000000000001
86,1985,NJN,0.45821428571428574,0.513,0.48685326547921964,0.49475524475524474,0.2647058823529412,0.7096774193548386,57.4,117.9,56.6,114.4,0.9,3.4,26.4,37.2,19.6,35.9,55.599999999999994,32.5,12.2,6.2,22.1,35.8,142.3,-26.6
87,1985,NYK,0.46653846153846157,0.49853846153846154,0.4830188679245283,0.4883720930232558,0.2692307692307693,0.7047353760445683,51.2,106.0,50.4,103.2,0.7000000000000001,2.6,25.3,35.9,19.3,32.9,51.9,28.9,11.4,5.5,23.2,36.3,128.8,-21.2
88,1985,PHI,0.48384615384615387,0.5326923076923077,0.487603305785124,0.49732047159699894,0.22857142857142856,0.7953367875647668,47.2,96.8,46.4,93.3,0.7999999999999999,3.5,30.7,38.6,18.3,33.7,52.0,27.0,11.200000000000001,7.7,21.3,28.5,126.2,-7.9
89,1985,PHO,0.4597333333333333,0.5034666666666667,0.47920133111480867,0.4891587163920208,0.26,0.771117166212534,57.6,120.2,56.4,115.3,1.3,5.0,28.3,36.7,17.400000000000002,39.0,56.1,37.4,11.8,5.1,26.2,33.1,145.2,-32.1
