,g-diff,mp_per_g-diff,fg_pct-diff,fg3_pct-diff,fta_per_g-diff,ft_pct-diff,tov_per_g-diff,pf_per_g-diff,pts_per_g-diff,bpm-diff,per-diff,ts_pct-diff,usg_pct-diff,ws-diff,player
0,1.4839351646854124,0.8023003847755396,0.6207067300110757,0.148909152946886,0.17829920473735147,-0.41810678158982956,0.6213903861348763,0.23854756774938002,0.5782492669453048,0.10361591546925247,-0.014901549695971461,0.24422830356254943,0.574444793696242,0.34571051384027923,A.C. Green
2,0.043407935373556125,0.0847304806777184,0.26430870929298633,-0.05865418745492999,-1.1786942515961194,1.3482883100432979,0.05128113246954301,-1.5064709819245998,0.20400268058459925,0.03794690760907536,-0.40418268195873364,0.44861359970092,-0.00859549527539775,-0.7343429492314708,Aaron Gordon
8,-2.293447347732347,-0.07198678637724502,0.9330973429535422,1.813187306097335,0.010150015582985544,0.08559823032872912,-0.8336645747124712,0.2872457598333055,0.18237954448375987,0.9265679821533818,0.8256741045039684,0.676084141518223,-0.3713761195244178,0.7989354026384862,Adrian Dantley
10,0.18060100483182662,3.299033611090758,2.18664436886807,0.7152971129661185,1.1565355589342685,1.3169093319191756,2.674513050187648,1.8247172527686497,2.597992748891972,1.3157208170442753,1.6238620872424079,2.223593817963209,1.2685403758053415,-1.275789558238518,Al Harrington
11,-0.535265396059413,-0.6615422195840155,-0.22767551495915464,-0.07880439882683939,-0.3526982346974841,-0.045903825686811034,-0.7826100146827385,-0.8571617541389329,-0.1827187919881297,-0.2814432669836046,-0.12693303834135974,-0.30717087666685833,0.1658182663827859,0.4649802214187542,Al Horford
12,-0.47678245298906013,-0.3723615482325941,-0.23174310106517676,1.4192075717201045,1.757463464723247,0.9921369083345398,0.825608626253802,1.949071564697245,0.055343619891318675,-1.4657241246438444,-0.7278292047120768,-0.04360206851720283,0.8335738110169727,-0.24765628136263612,Al Jefferson
15,0.7796774081329478,-1.9451312640341982,-0.5233309164939883,-3.0679589496803032,-0.24871123614149637,-0.34743166778411727,0.16189934586729404,-3.5112132227128448,-2.3691505154154524,-1.0873810907221422,-1.036764521885722,-0.424949741563862,-0.6305051368451507,-1.1650391154870767,Albert King
16,-1.0770021318690006,0.8403315896927234,0.7502884016743367,1.1381686945310128,-0.14804297158197546,0.2531619735115293,0.5767176461088614,1.3951296297425977,-0.05277206061288485,-1.101932745872977,-0.7719628214511689,1.110476415702952,-2.5674945413176005,-1.4880612401787807,Alec Burks
18,2.2486594962954096,0.10131431846130978,-0.6421819086204138,1.7425627907497132,0.30736108237776405,-0.5156229905293997,1.1574632664470563,0.8148095074091576,0.5403625754865667,-0.2660209999861388,-0.30610797809408463,-0.679181523594966,0.6680191610620617,1.1779480289434188,Alex English
20,0.7369951198570411,-1.389158102339207,-1.3019056361018282,-0.3283114278731241,-1.6101296711369255,-1.152616246449021,-1.3314465350023494,0.7092967578939886,-1.7060410083230029,-0.7090380568004396,-1.2721438111608803,-1.5441430376481702,-0.5484476146935828,0.015068380053283177,Allan Houston
21,-0.07663600040243312,-0.5775865408045698,-0.2619594549956251,-0.2105552628203736,1.7574634647232454,0.11901684203091786,1.8626543768577215,0.208111197696927,-0.329818491904907,-0.4762115743870844,-0.4575108021851368,-0.029265689831236574,-0.24343116722230676,1.2124037222438673,Allen Iverson
23,-1.411670074032362,0.26790650710559766,-1.747367944803717,-1.4896761337651168,-0.7167532973403093,0.14276502320212447,-0.019112276056298158,-0.2307259196048054,0.19417398235694464,-0.7645989219218087,0.050527308686457564,-1.3482125289399827,0.574444793696242,0.38546708303310423,Alonzo Mourning
25,1.523949809944075,0.4205531957954981,-0.40548713616524595,,0.06767473818842754,1.2510134778585258,0.5767176461088619,0.1289766355605485,-0.4446914024406248,0.6297142170763536,-0.5512947377557056,-0.12245215129000611,-0.5106579663343119,0.17873292323041373,Alvan Adams
27,-0.24469751048881602,0.6966740948923403,0.7820155733013056,-2.8554725462728507,0.47034779642651253,-0.25517747209920794,-0.468624470499889,0.35055340954240805,0.8526967636098233,0.5947902447143502,0.9448348696995188,0.4381002553312074,-0.2742027380291476,0.876460712564495,Amar'e Stoudemire
32,1.1929195628042275,0.14239700751612436,0.07934799735510199,-1.2962440229657257,-0.11535847010161052,0.2745567313234262,-0.0794494833641637,0.11458853335393335,-1.181843769514741,-0.28307142420327813,-0.5512947377557071,0.017653367686463365,-2.2347493258943905,0.1411448941753797,Andre Miller
34,-0.13951615723747499,0.7990200652139495,0.27438082726980245,1.1633083537722269,1.4647037157491294,-1.372717364433917,1.5367257123822042,1.0107617565087612,0.42023404159300726,0.035175163770821395,-0.16670179188647485,0.4704595100795291,0.7873007722096997,-0.05015132512256547,Andrei Kirilenko
36,-2.170735768939115,1.9566311705009005,2.616148256879418,,1.3380123623919087,-0.9837973441412603,1.9317907602313162,2.0282061268336213,1.2941691256686558,2.3953150420442983,1.920187799633456,2.503494544689185,-0.451274233198308,-0.4414695561776587,Andrew Bynum
38,-0.05262721324723686,-0.7660203976206587,0.05077980818449845,1.8730722257226744,0.527872519031952,-0.41521026053221405,-2.6256796317560416,-2.1817525788216905,-0.2392716094826379,0.6704588514986908,0.9669016780690651,0.7047568988901524,-0.09929065133765565,-0.503489804118466,Andrew Toney
39,0.5235836784775074,0.3645827432758686,-0.8738406220871676,0.14796629546290602,0.06767473818842754,0.10254287851575593,-0.16995529432596054,-0.820638110075988,0.3121183610888037,-0.6508314361971009,-0.8381632465598066,-0.6170572159557894,0.2505335220453305,-1.3459315053144312,Andrew Wiggins
