,season,player,pos_x,age_x,team_id_x,g-season,mp_per_g-season,fg_pct-season,fg3_pct-season,fg2_pct-season,fta_per_g-season,ft_pct-season,tov_per_g-season,pf_per_g-season,pts_per_g-season,bpm-season,per-season,ts_pct-season,usg_pct-season,ws-season,pos_y,age_y,team_id_y,g-playoffs,mp_per_g-playoffs,fg_pct-playoffs,fg3_pct-playoffs,fg2_pct-playoffs,fta_per_g-playoffs,ft_pct-playoffs,tov_per_g-playoffs,pf_per_g-playoffs,pts_per_g-playoffs,bpm-playoffs,per-playoffs,ts_pct-playoffs,usg_pct-playoffs,ws-playoffs
1500,1990,Karl Malone,PF,26,UTA,82,38.1,0.562,0.372,0.567,11.1,0.762,3.7,3.2,31.0,6.4,27.2,0.626,32.6,15.9,PF,26,UTA,5,40.6,0.438,0.0,0.442,9.0,0.756,2.4,4.4,25.2,3.5,19.7,0.505,29.0,0.5
1501,1990,Vernon Maxwell,SG,24,TOT,79,25.2,0.439,0.267,0.473,2.7,0.645,1.8,1.9,9.0,-1.1,11.5,0.496,17.8,2.8,SG,24,HOU,4,39.8,0.37,0.308,0.4,5.3,0.524,1.5,3.0,19.8,-2.1,11.9,0.438,26.1,0.0
1505,1990,Mike McGee,SF,30,PHO,14,20.0,0.483,0.348,0.531,1.5,0.476,1.0,2.0,7.3,-2.4,9.8,0.53,16.3,0.4,SF,30,PHO,10,4.4,0.35,0.429,0.308,0.4,0.25,0.2,0.6,1.8,-5.1,5.8,0.414,22.8,0.0
1506,1990,Kevin McHale,PF,32,BOS,82,33.2,0.549,0.333,0.562,5.4,0.893,2.2,3.0,20.9,3.4,21.8,0.623,24.1,11.1,PF,32,BOS,5,38.4,0.609,0.333,0.621,5.8,0.862,2.8,3.4,22.0,1.5,19.7,0.673,21.0,0.5
1508,1990,Reggie Miller,SG,24,IND,82,38.9,0.514,0.414,0.552,7.6,0.868,2.7,2.1,24.6,4.0,20.8,0.645,24.2,12.1,SG,24,IND,3,41.7,0.571,0.429,0.607,7.0,0.905,1.0,2.0,20.7,6.1,20.0,0.701,17.9,0.5
1509,1990,Paul Mokeski,C,33,CLE,38,11.8,0.42,0.0,0.423,0.9,0.694,0.7,2.0,4.0,-6.7,7.7,0.455,18.5,0.2,C,33,CLE,3,3.3,0.5,,0.5,0.7,1.0,0.0,0.7,1.3,6.6,21.3,0.694,13.2,0.1
1510,1990,Johnny Moore,PG,31,SAS,53,9.7,0.373,0.235,0.424,0.5,0.593,0.7,1.0,2.2,-2.7,8.1,0.428,14.2,0.3,PG,31,SAS,9,9.6,0.25,0.0,0.333,0.9,0.5,0.8,1.2,1.8,-2.8,7.4,0.291,15.9,0.0
1512,1990,Larry Nance,PF,30,CLE,62,33.3,0.511,1.0,0.51,3.9,0.778,1.8,3.0,16.3,2.7,19.1,0.554,21.4,6.5,PF,30,CLE,5,31.8,0.578,,0.578,2.4,0.75,0.8,4.0,12.2,2.0,15.7,0.607,15.7,0.4
1513,1990,Calvin Natt,SF,33,IND,14,11.7,0.645,,0.645,1.6,0.773,0.4,1.0,4.1,-0.4,14.4,0.701,12.1,0.5,SF,33,IND,2,7.0,0.333,,0.333,0.0,,1.0,2.5,1.0,-15.8,-7.0,0.333,16.9,-0.1
1514,1990,Ed Nealy,PF,29,CHI,46,10.9,0.529,0.0,0.544,0.9,0.732,0.4,1.5,2.3,-1.2,11.1,0.591,8.9,1.3,PF,29,CHI,15,15.2,0.472,0.0,0.486,1.4,0.619,0.5,3.0,3.1,-2.5,8.1,0.519,10.1,0.5
1515,1990,Johnny Newman,SF,26,NYK,80,28.5,0.476,0.317,0.511,3.7,0.799,1.8,3.2,12.9,-1.1,12.7,0.562,19.4,4.5,SF,26,NYK,10,23.1,0.447,0.4,0.453,4.9,0.755,1.7,4.1,11.7,-4.6,11.7,0.549,23.3,0.1
1516,1990,Kurt Nimphius,C,31,PHI,38,8.3,0.418,0.0,0.422,0.8,0.467,0.3,1.2,2.4,-5.7,7.9,0.432,15.7,0.1,C,31,PHI,4,4.5,0.143,,0.143,0.0,,0.0,0.3,0.5,-9.4,3.4,0.143,17.2,-0.1
1517,1990,Charles Oakley,PF,26,NYK,61,36.0,0.524,0.0,0.527,4.7,0.761,2.7,3.6,14.6,-0.3,15.9,0.58,17.6,6.0,PF,26,NYK,10,33.6,0.512,1.0,0.506,5.2,0.654,2.2,3.3,12.1,0.5,15.9,0.566,16.7,0.6
1518,1990,Hakeem Olajuwon,C,27,HOU,82,38.1,0.501,0.167,0.502,6.5,0.713,3.9,3.8,24.3,5.8,24.1,0.541,28.1,11.2,C,27,HOU,4,40.3,0.443,,0.443,4.3,0.706,2.8,4.8,18.5,3.9,20.5,0.478,23.7,0.3
1519,1990,Robert Parish,C,36,BOS,79,30.3,0.58,,0.58,3.9,0.747,2.1,2.4,15.7,1.1,19.2,0.616,20.7,7.8,C,36,BOS,5,34.0,0.574,,0.574,3.6,0.944,2.4,4.2,15.8,1.1,19.4,0.638,18.3,0.5
1520,1990,Jim Paxson,PG,32,BOS,72,17.8,0.453,0.25,0.463,1.3,0.811,0.8,1.6,6.4,-3.7,9.7,0.498,16.9,1.4,PG,32,BOS,5,12.4,0.5,0.0,0.533,0.8,0.75,0.6,0.2,3.8,-0.8,11.6,0.535,14.1,0.0
1521,1990,John Paxson,PG,29,CHI,82,28.8,0.516,0.359,0.539,0.8,0.824,1.0,2.1,10.0,-1.5,12.7,0.555,14.9,4.8,PG,29,CHI,15,26.3,0.425,0.444,0.423,0.9,1.0,1.0,2.8,6.1,-3.2,7.9,0.494,12.1,0.5
1523,1990,Will Perdue,C,24,CHI,77,11.5,0.414,0.0,0.422,1.4,0.692,0.8,1.9,3.8,-6.7,9.1,0.469,18.3,0.5,C,24,CHI,13,6.0,0.464,0.5,0.462,1.4,0.722,0.3,1.0,3.1,0.3,16.6,0.557,22.5,0.2
1524,1990,Sam Perkins,SF,28,DAL,76,35.1,0.493,0.214,0.502,5.6,0.778,1.9,3.0,15.9,1.7,17.3,0.564,20.0,8.1,SF,28,DAL,3,39.3,0.444,0.0,0.457,5.7,0.765,2.3,5.7,15.0,-1.0,12.1,0.517,18.5,0.1
1525,1990,Tim Perry,C,24,PHO,60,10.2,0.513,1.0,0.51,1.5,0.589,0.8,1.3,4.2,-1.4,13.5,0.541,19.0,1.2,C,24,PHO,11,9.1,0.52,,0.52,1.6,0.444,0.5,1.7,3.1,-1.3,11.0,0.516,16.0,0.2
1526,1990,Chuck Person,SF,25,IND,77,35.2,0.487,0.372,0.517,3.5,0.781,2.2,2.8,19.7,-0.1,16.6,0.557,24.4,5.4,SF,25,IND,3,41.0,0.378,0.1,0.457,4.0,0.417,1.3,3.7,13.3,-2.2,8.9,0.398,20.9,-0.1
1527,1990,Dražen Petrović,SG,25,POR,77,12.6,0.485,0.459,0.49,2.1,0.844,1.2,1.7,7.6,0.9,15.5,0.586,24.1,2.8,SG,25,POR,20,12.7,0.44,0.313,0.462,1.8,0.583,1.0,1.9,6.1,-3.3,9.5,0.489,23.4,0.1
1528,1990,Ricky Pierce,SG,30,MIL,59,29.0,0.51,0.346,0.535,6.2,0.839,2.2,2.7,23.0,2.9,21.9,0.592,31.3,5.8,SG,30,MIL,4,30.5,0.467,0.5,0.46,7.8,0.903,0.8,3.5,22.3,4.4,22.8,0.604,28.5,0.5
1529,1990,Ed Pinckney,PF,26,BOS,77,14.1,0.542,0.0,0.544,1.5,0.773,0.7,1.6,4.7,0.8,13.7,0.601,13.9,2.9,PF,26,BOS,4,6.3,0.857,,0.857,2.3,0.778,0.5,0.8,4.8,-0.1,25.5,0.867,21.8,0.1
1530,1990,Scottie Pippen,SF,24,CHI,82,38.4,0.489,0.25,0.514,3.6,0.675,3.4,3.6,16.5,1.8,16.3,0.528,21.2,5.7,SF,24,CHI,15,40.8,0.495,0.323,0.525,6.7,0.71,3.3,4.1,19.3,5.4,18.7,0.569,21.8,1.9
1531,1990,Terry Porter,PG,26,POR,80,34.8,0.462,0.374,0.491,5.9,0.892,3.1,1.9,17.6,5.8,20.0,0.597,20.1,11.7,PG,26,POR,21,38.8,0.464,0.392,0.506,7.9,0.842,3.0,2.4,20.6,5.2,18.5,0.625,20.5,2.9
1532,1990,Paul Pressey,SG,31,MIL,57,24.6,0.472,0.14,0.503,3.3,0.758,1.9,2.6,11.0,1.3,15.9,0.533,20.9,3.0,SG,31,MIL,4,32.3,0.432,0.0,0.463,6.5,0.808,1.8,3.5,14.8,4.2,20.3,0.532,21.9,0.4
1533,1990,Mark Price,PG,25,CLE,73,37.1,0.459,0.406,0.487,4.6,0.888,2.9,1.2,19.6,5.2,21.1,0.589,22.8,10.1,PG,25,CLE,5,38.4,0.525,0.353,0.591,6.0,1.0,3.0,1.8,20.0,5.8,22.2,0.674,21.3,0.8
1535,1990,Kurt Rambis,PF,31,TOT,74,25.7,0.509,0.0,0.514,1.7,0.646,1.4,2.8,6.2,0.7,12.1,0.539,11.7,4.1,PF,31,PHO,16,24.1,0.444,0.0,0.453,1.8,0.679,1.1,3.2,4.2,0.7,9.7,0.505,9.2,0.8
1536,1990,Blair Rasmussen,C,27,DEN,81,24.6,0.497,0.0,0.498,1.7,0.828,0.9,3.7,12.4,-1.0,16.0,0.525,20.2,5.2,C,27,DEN,3,28.0,0.396,,0.396,3.3,0.9,0.7,3.3,15.7,-4.6,14.5,0.448,25.1,0.0
1537,1990,Fred Roberts,PF,29,MIL,82,27.3,0.495,0.182,0.501,3.0,0.783,1.6,2.6,10.5,-2.3,11.6,0.553,17.0,3.5,PF,29,MIL,4,19.8,0.65,0.0,0.684,4.0,0.813,1.3,2.3,9.8,-0.5,15.5,0.721,18.4,0.2
1539,1990,Clifford Robinson,PF,23,POR,82,19.1,0.397,0.273,0.405,3.1,0.55,1.6,2.8,9.1,-5.0,9.3,0.433,24.9,0.3,PF,23,POR,21,18.6,0.358,0.0,0.367,2.5,0.558,1.2,3.4,6.5,-2.4,9.1,0.394,20.8,0.0
1540,1990,David Robinson,C,24,SAS,82,36.6,0.531,0.0,0.532,10.2,0.732,3.1,3.2,24.3,6.9,26.3,0.597,26.6,15.1,C,24,SAS,10,37.5,0.533,,0.533,9.6,0.677,2.4,3.5,24.3,6.6,24.4,0.581,24.6,1.7
1541,1990,Dennis Rodman,SF,28,DET,82,29.0,0.581,0.111,0.589,2.6,0.654,1.1,3.4,8.8,1.6,15.4,0.608,12.3,9.3,SF,28,DET,19,29.5,0.568,,0.568,1.8,0.514,1.6,3.3,6.6,0.0,10.6,0.571,11.1,1.4
1542,1990,Tree Rollins,C,34,CLE,48,14.0,0.456,0.0,0.46,0.3,0.688,0.7,1.7,2.6,-3.0,8.8,0.473,10.7,0.7,C,34,CLE,3,12.7,0.333,,0.333,2.7,0.75,1.0,2.3,2.7,-3.3,6.6,0.613,11.5,0.0
1543,1990,Delaney Rudd,PG,27,UTA,77,11.0,0.429,0.286,0.468,0.7,0.66,1.1,1.1,3.5,-4.6,8.6,0.483,19.0,0.1,PG,27,UTA,5,9.0,0.348,0.143,0.438,0.4,0.5,0.6,2.0,3.6,-4.5,8.5,0.377,25.7,0.0
1544,1990,John Salley,PF,25,DET,82,23.3,0.512,0.25,0.515,3.0,0.713,1.2,3.4,7.2,1.5,13.5,0.575,13.8,6.1,PF,25,DET,20,27.4,0.475,,0.475,4.9,0.755,1.1,3.8,9.5,2.6,14.9,0.575,15.1,2.1
1546,1990,Mike Sanders,SF,29,IND,82,18.7,0.47,0.357,0.473,0.9,0.733,1.0,2.7,6.2,-3.8,9.1,0.498,16.7,1.0,SF,29,IND,3,8.0,0.455,1.0,0.4,0.0,,0.7,1.3,3.7,0.1,14.7,0.5,25.6,0.0
1547,1990,Detlef Schrempf,PF,27,IND,78,33.0,0.516,0.354,0.526,6.3,0.82,2.3,3.5,16.2,1.4,17.6,0.611,20.5,8.1,PF,27,IND,3,41.7,0.489,0.0,0.523,5.3,0.938,3.3,4.3,20.3,-0.2,14.4,0.564,24.3,0.1
1548,1990,Byron Scott,SG,28,LAL,77,33.7,0.47,0.423,0.483,2.7,0.766,1.6,2.3,15.5,0.6,14.3,0.546,20.1,6.0,SG,28,LAL,9,36.1,0.462,0.382,0.5,1.4,0.769,1.4,3.6,13.4,1.6,13.1,0.542,16.9,0.6
1549,1990,Jack Sikma,C,34,MIL,71,31.7,0.416,0.342,0.439,3.7,0.885,2.0,3.4,13.9,0.6,14.7,0.524,20.1,5.0,C,34,MIL,4,29.3,0.261,0.286,0.25,2.0,0.75,3.0,4.8,5.0,-9.9,-0.5,0.377,14.9,-0.4
1550,1990,Charles Smith,PF,24,LAC,78,35.0,0.52,0.083,0.524,7.3,0.794,2.1,3.8,21.1,1.9,19.5,0.589,23.8,9.4,PG,22,BOS,3,3.0,0.5,,0.5,0.0,,0.0,0.0,0.7,10.9,23.6,0.5,9.4,0.0
1551,1990,Charles Smith,PG,22,BOS,60,8.7,0.444,0.0,0.468,1.3,0.697,0.6,1.3,2.9,-0.8,13.3,0.514,16.4,1.1,PG,22,BOS,3,3.0,0.5,,0.5,0.0,,0.0,0.0,0.7,10.9,23.6,0.5,9.4,0.0
1553,1990,Larry Smith,PF,32,HOU,74,17.6,0.474,0.0,0.479,0.7,0.364,0.9,2.7,3.0,-1.8,9.8,0.468,9.6,2.6,PF,32,HOU,4,18.3,0.75,,0.75,0.0,,1.3,2.8,3.0,0.0,9.3,0.75,7.7,0.1
1555,1990,Rik Smits,C,23,IND,82,29.3,0.533,0.0,0.533,3.6,0.811,1.7,4.0,15.5,0.7,18.1,0.579,22.4,6.6,C,23,IND,3,32.0,0.5,,0.5,3.7,0.818,1.7,4.0,12.3,0.5,13.5,0.563,18.7,0.1
1556,1990,John Stockton,PG,27,UTA,78,37.4,0.514,0.416,0.528,5.5,0.819,3.5,3.0,17.2,8.9,23.9,0.607,20.6,14.4,PG,27,UTA,5,38.8,0.42,0.077,0.5,4.0,0.8,2.8,4.0,15.0,3.5,18.0,0.482,20.4,0.4
1557,1990,Rod Strickland,PG,23,TOT,82,26.1,0.454,0.267,0.461,3.4,0.626,2.1,2.0,10.6,1.2,15.7,0.494,20.4,4.3,PG,23,SAS,10,38.4,0.425,0.0,0.45,2.7,0.556,3.4,3.0,12.3,0.2,13.0,0.443,17.8,0.5
1558,1990,Roy Tarpley,PF,25,DAL,45,36.6,0.451,0.0,0.455,3.8,0.756,2.6,3.6,16.8,-0.3,18.0,0.491,23.7,3.5,PF,25,DAL,3,43.0,0.478,0.0,0.489,4.0,0.5,3.0,4.0,16.7,0.7,15.7,0.488,20.2,0.1
1559,1990,Isiah Thomas,PG,28,DET,81,37.0,0.438,0.309,0.453,4.7,0.775,4.0,2.5,18.4,2.9,17.3,0.501,26.0,6.7,PG,28,DET,20,37.9,0.463,0.471,0.46,5.1,0.794,3.6,3.3,20.5,7.6,21.0,0.56,25.4,3.1
1560,1990,LaSalle Thompson,C,28,IND,82,25.9,0.473,0.2,0.476,1.6,0.799,1.8,3.8,6.8,-2.6,10.3,0.523,13.9,2.4,C,28,IND,3,18.0,0.467,,0.467,1.3,1.0,2.3,4.3,6.0,-6.8,6.7,0.537,20.8,-0.1
1561,1990,Mychal Thompson,C,35,LAL,70,26.9,0.5,,0.5,2.9,0.706,1.1,3.0,10.1,-2.0,13.4,0.542,16.6,4.7,C,35,LAL,9,25.0,0.477,,0.477,2.9,0.615,1.9,2.9,6.4,-5.1,7.0,0.523,14.2,0.0
1563,1990,Otis Thorpe,PF,27,HOU,82,35.9,0.548,0.0,0.554,5.4,0.688,2.8,3.3,17.1,0.7,16.1,0.587,19.6,8.5,PF,27,HOU,4,41.0,0.6,,0.6,9.5,0.684,2.3,3.0,20.0,2.2,18.8,0.648,18.6,0.5
1564,1990,Trent Tucker,SG,30,NYK,81,21.3,0.417,0.388,0.438,1.1,0.767,0.9,2.0,8.2,0.0,12.0,0.518,17.3,3.3,SG,30,NYK,10,17.8,0.4,0.37,0.429,0.6,1.0,0.6,1.9,6.0,-0.1,11.9,0.52,15.6,0.2
1565,1990,Kiki Vandeweghe,SF,31,NYK,22,25.6,0.442,0.526,0.434,2.2,0.917,1.2,1.3,11.7,-2.5,12.5,0.512,20.5,0.8,SF,31,NYK,10,23.6,0.419,0.462,0.41,1.0,0.8,0.7,1.4,7.6,-3.6,8.4,0.485,15.7,0.0
1566,1990,Jay Vincent,SF,30,TOT,41,11.2,0.47,0.5,0.47,1.2,0.837,0.8,1.3,5.2,-3.6,11.8,0.523,22.0,0.5,SF,30,LAL,3,2.7,0.0,,0.0,0.0,,0.7,0.3,0.0,-29.3,-23.6,0.0,22.0,-0.1
1567,1990,Kenny Walker,PF,25,NYK,68,23.5,0.531,0.4,0.533,2.5,0.723,0.9,2.6,7.9,-1.2,12.7,0.581,13.6,4.0,PF,25,NYK,10,15.4,0.552,0.0,0.571,1.4,0.643,0.1,2.2,4.1,-2.7,9.8,0.583,10.2,0.2
1568,1990,Bill Wennington,C,26,DAL,60,13.6,0.449,0.0,0.457,1.3,0.8,0.8,2.4,4.5,-3.8,10.6,0.506,17.1,1.2,C,26,DAL,3,8.3,0.2,,0.2,0.0,,0.7,1.7,0.7,-11.7,-5.1,0.2,12.1,-0.1
1569,1990,Mark West,C,29,PHO,82,29.3,0.625,,0.625,3.5,0.691,1.5,3.4,10.5,1.4,15.7,0.656,13.5,8.2,C,29,PHO,16,34.0,0.577,,0.577,3.1,0.54,1.6,4.6,11.1,1.0,13.5,0.582,13.8,1.4
1571,1990,Mitchell Wiggins,SG,30,HOU,66,28.1,0.488,0.0,0.489,3.6,0.81,1.3,2.5,15.5,0.2,16.3,0.535,22.9,5.4,SG,30,HOU,4,12.8,0.467,,0.467,0.8,0.667,1.0,1.3,4.0,-4.6,9.1,0.49,17.2,0.0
1573,1990,Gerald Wilkins,SG,26,NYK,82,31.8,0.457,0.312,0.477,3.2,0.803,2.4,2.3,14.5,-0.3,14.3,0.52,21.4,4.4,SG,26,NYK,10,31.9,0.46,0.25,0.473,2.2,0.818,1.8,2.3,14.6,1.2,15.7,0.498,22.5,0.3
1574,1990,Buck Williams,PF,29,POR,82,34.2,0.548,0.0,0.548,5.0,0.706,2.0,3.5,13.6,0.7,14.3,0.597,15.5,8.7,PF,29,POR,21,37.0,0.508,,0.508,5.0,0.676,2.0,3.5,13.0,0.0,12.4,0.557,15.1,1.6
1575,1990,Herb Williams,C,31,DAL,81,27.1,0.444,0.222,0.447,2.0,0.679,1.3,3.0,8.6,-2.0,10.4,0.476,16.8,2.2,C,31,DAL,3,27.0,0.609,,0.609,5.3,0.813,1.0,5.3,13.7,4.0,17.6,0.682,17.7,0.3
1576,1990,Hot Rod Williams,PF,27,CLE,82,33.9,0.493,,0.493,5.4,0.739,1.7,2.6,16.8,2.1,19.0,0.546,21.9,8.7,PF,27,CLE,5,34.8,0.557,,0.557,4.4,0.773,1.4,4.6,19.0,1.7,19.9,0.596,22.9,0.6
1577,1990,Reggie Williams,SF,25,TOT,47,15.8,0.388,0.162,0.415,1.4,0.765,1.0,2.2,6.8,-5.0,9.1,0.435,23.8,0.0,SF,25,SAS,9,5.4,0.333,0.0,0.36,0.2,1.0,0.6,0.9,2.2,-8.7,4.5,0.359,26.6,-0.1
1578,1990,David Wingate,SG,26,SAS,78,23.8,0.448,0.0,0.46,1.4,0.777,1.6,2.0,6.8,-1.7,9.4,0.488,14.9,1.9,SG,26,SAS,10,29.3,0.519,0.667,0.514,1.2,0.75,1.4,3.4,9.1,2.6,12.5,0.553,13.0,0.7
1579,1990,Randy Wittman,SF,30,IND,61,8.9,0.508,0.5,0.508,0.1,0.833,0.4,0.3,2.1,-4.2,6.9,0.522,11.8,0.0,SF,30,IND,2,5.5,0.0,,0.0,0.0,,0.0,0.0,0.0,-6.8,-1.8,0.0,4.3,0.0
1581,1990,Orlando Woolridge,SF,30,LAL,62,22.9,0.556,0.0,0.561,3.9,0.733,1.2,2.6,12.7,1.5,17.6,0.601,21.9,4.8,SF,30,LAL,9,22.1,0.571,0.0,0.58,4.1,0.703,1.2,2.8,11.8,2.6,17.7,0.614,21.5,0.6
1582,1990,James Worthy,SF,28,LAL,80,37.0,0.548,0.306,0.557,4.0,0.782,2.0,2.4,21.1,3.8,19.8,0.586,23.0,10.6,SF,28,LAL,9,40.7,0.497,0.25,0.509,4.8,0.837,2.4,2.0,24.2,2.2,18.3,0.545,26.7,0.8
1583,1990,Danny Young,PG,27,POR,82,17.0,0.421,0.271,0.454,1.4,0.813,1.0,1.0,4.7,0.9,11.5,0.508,12.9,3.0,PG,27,POR,21,14.0,0.389,0.379,0.395,1.3,0.704,0.8,1.4,4.1,0.2,9.7,0.513,14.0,0.4
1585,1991,Mark Aguirre,SF,31,DET,78,25.7,0.462,0.308,0.477,4.1,0.757,1.6,2.7,14.2,1.4,16.7,0.526,25.7,5.5,SF,31,DET,15,26.5,0.506,0.364,0.538,3.4,0.824,1.3,2.7,15.6,5.0,19.4,0.584,24.2,1.3
1586,1991,Danny Ainge,SG,31,POR,80,21.4,0.472,0.406,0.508,1.7,0.826,1.3,2.4,11.1,3.7,17.0,0.574,20.8,6.2,SG,31,POR,16,17.3,0.448,0.306,0.522,1.8,0.821,1.5,2.1,8.0,0.3,12.4,0.546,21.9,0.4
1587,1991,Ron Anderson,SF,32,PHI,82,28.5,0.485,0.209,0.497,2.4,0.833,1.2,2.0,14.6,-1.6,15.5,0.524,23.2,4.1,SF,32,PHI,8,27.9,0.398,0.2,0.41,2.4,0.895,1.5,3.0,11.0,-5.3,9.2,0.457,23.0,-0.1
1588,1991,Willie Anderson,SG,24,SAS,75,34.6,0.457,0.2,0.467,2.8,0.798,2.2,3.0,14.4,0.1,13.0,0.499,20.1,4.8,SG,24,SAS,4,39.8,0.485,0.2,0.534,3.3,0.615,3.3,4.0,19.0,-1.6,11.8,0.515,22.6,0.0
1589,1991,B.J. Armstrong,PG,23,CHI,82,21.1,0.481,0.5,0.48,1.4,0.874,1.3,1.4,8.8,-0.5,14.8,0.529,19.5,4.1,PG,23,CHI,17,16.1,0.5,0.6,0.492,1.5,0.8,0.8,0.8,5.5,4.5,17.2,0.574,16.0,1.0
1590,1991,Vincent Askew,SG,24,GSW,7,12.1,0.48,,0.48,1.6,0.818,0.9,3.0,4.7,-4.1,10.9,0.553,16.8,0.2,SG,24,GSW,6,6.8,0.4,,0.4,1.0,0.5,0.0,1.0,2.5,-3.9,12.9,0.425,18.5,0.1
1591,1991,Thurl Bailey,PF,29,UTA,82,30.3,0.458,0.0,0.459,3.3,0.808,1.6,2.0,12.4,-1.4,12.5,0.513,20.0,3.7,PF,29,UTA,9,25.3,0.359,,0.359,2.8,0.88,1.3,3.0,7.6,-3.9,6.2,0.453,16.8,0.1
1592,1991,Charles Barkley,SF,27,PHI,67,37.3,0.57,0.284,0.614,9.8,0.722,3.1,2.6,27.6,9.3,28.9,0.635,29.1,13.4,SF,27,PHI,8,40.8,0.592,0.1,0.686,9.4,0.653,3.1,2.9,24.9,8.9,26.8,0.63,26.6,1.5
1593,1991,Dana Barros,PG,23,SEA,66,11.4,0.495,0.395,0.53,1.3,0.918,0.8,0.6,6.3,2.4,18.8,0.6,22.5,2.5,PG,23,SEA,3,8.3,0.692,0.4,0.875,1.3,0.75,1.0,0.3,7.7,20.2,39.5,0.779,30.4,0.2
1594,1991,John Battle,SG,28,ATL,79,23.6,0.461,0.286,0.471,4.0,0.854,1.4,1.8,13.6,-0.9,16.4,0.538,24.7,4.0,SG,28,ATL,5,21.4,0.364,0.4,0.359,5.0,0.96,1.8,2.2,11.6,-0.5,13.3,0.527,26.3,0.1
1597,1991,Larry Bird,SF,34,BOS,60,38.0,0.454,0.389,0.47,3.1,0.891,3.1,2.0,19.4,4.6,19.7,0.53,23.7,6.6,SF,34,BOS,10,39.6,0.408,0.143,0.45,5.1,0.863,1.9,2.8,17.1,1.6,15.8,0.49,21.4,0.6
1598,1991,Manute Bol,C,28,PHI,82,18.6,0.396,0.071,0.427,0.5,0.585,0.8,2.2,1.9,-1.0,8.4,0.426,7.0,1.3,C,28,PHI,8,13.6,0.5,,0.5,1.1,0.667,0.6,1.8,3.0,-1.3,9.3,0.546,11.7,0.1
1599,1991,Frank Brickowski,PF,31,MIL,75,25.5,0.527,0.0,0.528,3.3,0.798,2.1,3.4,12.6,0.1,16.4,0.578,21.9,4.7,PF,31,MIL,3,36.7,0.533,0.0,0.558,4.7,0.5,2.0,5.3,18.3,-2.3,13.2,0.538,23.1,0.1
1600,1991,Dee Brown,PG,22,BOS,82,23.7,0.464,0.206,0.479,1.9,0.873,1.7,2.0,8.7,-0.9,13.2,0.523,17.7,3.5,PG,22,BOS,11,25.8,0.491,0.0,0.515,3.1,0.824,2.0,2.9,12.2,2.0,16.2,0.545,22.3,0.4
1601,1991,Mike Brown,C,27,UTA,82,17.0,0.454,,0.454,2.2,0.742,1.0,2.0,4.8,-3.1,9.6,0.538,14.2,2.4,C,27,UTA,9,24.8,0.482,,0.482,4.2,0.842,1.3,4.0,9.6,-1.2,12.3,0.591,16.7,0.6
1603,1991,Mark Bryant,PF,25,POR,53,14.7,0.488,0.0,0.49,1.9,0.733,0.6,2.3,5.1,-2.4,11.2,0.55,14.6,2.1,PF,25,POR,14,9.8,0.455,,0.455,1.1,0.875,0.3,1.8,2.4,-2.8,9.1,0.585,10.4,0.3
1604,1991,Michael Cage,C,29,SEA,82,26.1,0.508,0.0,0.511,1.4,0.625,1.0,2.4,6.4,-0.2,12.0,0.528,11.3,4.3,C,29,SEA,5,16.0,0.429,,0.429,3.4,0.765,0.6,2.4,5.0,0.6,13.6,0.582,13.1,0.3
1605,1991,Elden Campbell,PF,22,LAL,52,7.3,0.455,,0.455,0.9,0.653,0.3,1.4,2.8,-1.4,14.5,0.498,18.4,1.1,PF,22,LAL,14,9.9,0.658,,0.658,1.1,0.467,0.4,1.6,4.1,2.7,16.6,0.639,16.6,0.4
1607,1991,Bill Cartwright,C,33,CHI,79,28.8,0.49,,0.49,2.3,0.697,1.4,2.1,9.6,-2.6,11.5,0.522,15.8,4.2,C,33,CHI,17,30.1,0.519,,0.519,1.9,0.688,1.2,3.2,9.5,-1.2,11.1,0.543,15.5,1.2
1608,1991,Cedric Ceballos,SF,21,PHO,63,11.6,0.487,0.167,0.492,2.6,0.663,1.1,1.1,8.2,-2.1,17.8,0.527,31.3,1.3,SF,21,PHO,3,8.0,0.583,,0.583,2.0,0.333,0.3,0.0,5.3,9.6,25.6,0.546,28.3,0.1
1609,1991,Tom Chambers,PF,31,PHO,76,32.6,0.437,0.274,0.447,6.0,0.826,2.3,3.1,19.9,-0.9,16.2,0.513,27.2,5.4,PF,31,PHO,4,35.5,0.409,0.0,0.443,4.8,0.737,3.0,3.0,17.0,-0.7,11.2,0.457,26.4,-0.2
1610,1991,Maurice Cheeks,PG,34,NYK,76,28.3,0.499,0.25,0.51,1.7,0.814,1.4,1.8,7.8,1.3,14.2,0.548,13.2,5.2,PG,34,NYK,3,33.7,0.609,0.333,0.65,0.7,0.5,2.7,3.0,10.0,1.9,11.8,0.628,14.4,0.1
1612,1991,Wayne Cooper,C,34,POR,67,11.1,0.393,0.0,0.396,0.6,0.786,0.3,1.8,2.2,-2.6,8.3,0.45,10.1,1.4,C,34,POR,3,4.3,0.5,,0.5,0.0,,0.3,0.7,0.7,-2.6,6.6,0.5,9.9,0.0
1613,1991,Dave Corzine,C,34,SEA,28,5.3,0.447,,0.447,0.8,0.591,0.1,0.6,1.7,-1.8,12.5,0.493,14.2,0.4,C,34,SEA,2,6.0,0.667,,0.667,0.5,1.0,0.0,0.5,2.5,-0.2,13.5,0.727,12.3,0.0
