,season,player,pos_x,age_x,team_id_x,g-season,mp_per_g-season,fg_pct-season,fg3_pct-season,fg2_pct-season,fta_per_g-season,ft_pct-season,tov_per_g-season,pf_per_g-season,pts_per_g-season,bpm-season,per-season,ts_pct-season,usg_pct-season,ws-season,pos_y,age_y,team_id_y,g-playoffs,mp_per_g-playoffs,fg_pct-playoffs,fg3_pct-playoffs,fg2_pct-playoffs,fta_per_g-playoffs,ft_pct-playoffs,tov_per_g-playoffs,pf_per_g-playoffs,pts_per_g-playoffs,bpm-playoffs,per-playoffs,ts_pct-playoffs,usg_pct-playoffs,ws-playoffs
30,1982,Mike Dunleavy,SG,27,HOU,70,18.8,0.458,0.384,0.475,1.5,0.708,1.1,2.3,7.4,-1.0,13.2,0.524,17.9,2.6,SG,27,HOU,3,22.0,0.409,0.0,0.5,2.0,0.833,0.3,2.3,7.7,-0.2,12.9,0.467,17.2,0.1
31,1982,T.R. Dunn,SG,26,DEN,82,30.7,0.512,0.0,0.513,2.6,0.712,1.5,2.6,8.2,0.6,12.1,0.559,10.9,4.0,SG,26,DEN,3,27.0,0.462,,0.462,2.7,0.875,1.7,3.7,6.3,4.1,14.7,0.575,10.3,0.2
33,1982,Franklin Edwards,PG,22,PHI,42,6.9,0.433,0.0,0.461,0.6,0.741,0.6,0.9,3.6,-2.7,13.7,0.463,26.6,0.2,PG,22,PHI,9,3.6,0.6,1.0,0.579,1.0,0.889,0.2,0.0,3.7,21.9,41.1,0.689,34.0,0.3
35,1982,Alex English,SF,28,DEN,82,36.8,0.551,0.0,0.553,5.4,0.84,3.2,3.2,25.4,3.8,22.2,0.596,25.3,9.5,SF,28,DEN,3,39.3,0.473,,0.473,2.3,0.857,1.3,2.0,19.3,3.3,18.3,0.499,20.4,0.2
36,1982,Julius Erving,SF,31,PHI,81,34.4,0.546,0.273,0.548,6.7,0.763,2.6,2.8,24.4,7.7,25.9,0.593,28.1,13.3,SF,31,PHI,21,37.1,0.519,0.167,0.525,7.9,0.752,3.2,2.6,22.0,8.0,22.5,0.581,24.9,3.0
40,1982,George Gervin,SG,29,SAS,79,35.7,0.5,0.278,0.504,8.1,0.864,2.7,2.7,32.3,3.9,24.2,0.562,35.0,10.7,SG,29,SAS,9,41.4,0.452,0.0,0.458,7.9,0.831,3.4,4.0,29.4,1.7,18.5,0.511,30.6,0.7
41,1982,Mike Glenn,SG,26,ATL,49,17.0,0.543,0.5,0.543,1.4,0.881,0.6,1.6,7.7,1.6,16.0,0.587,18.1,2.8,SG,26,ATL,2,17.5,0.714,,0.714,1.0,1.0,1.0,1.5,6.0,4.8,15.6,0.761,13.2,0.1
42,1982,Mike Gminski,C,22,NJN,64,11.6,0.441,,0.441,1.8,0.822,0.9,1.1,5.2,0.1,15.3,0.52,20.4,1.8,C,22,NJN,1,10.0,0.667,,0.667,2.0,0.5,0.0,2.0,5.0,-0.6,15.6,0.644,16.6,0.0
45,1982,Bill Hanzlik,SF,24,SEA,81,24.4,0.468,0.0,0.473,2.2,0.784,1.3,3.1,5.8,-0.6,9.6,0.543,11.3,4.1,SF,24,SEA,8,25.4,0.471,0.0,0.485,2.8,0.909,1.6,3.3,6.5,-0.1,10.8,0.595,11.8,0.5
49,1982,Gerald Henderson,PG,26,BOS,82,22.5,0.501,0.167,0.506,2.1,0.727,1.8,2.4,10.2,-0.6,13.2,0.534,20.2,3.6,PG,26,BOS,12,25.8,0.409,0.0,0.418,2.9,0.686,2.1,2.5,8.3,-0.2,10.3,0.461,17.5,0.4
55,1982,Dan Issel,C,33,DEN,81,30.5,0.527,0.667,0.526,8.1,0.834,2.1,3.0,22.9,2.2,23.1,0.608,26.0,9.8,C,33,DEN,3,34.3,0.533,,0.533,4.0,1.0,2.3,3.3,25.3,1.7,22.0,0.582,27.2,0.3
57,1982,Dennis Johnson,SG,27,PHO,80,36.7,0.47,0.19,0.48,6.2,0.806,2.9,3.2,19.5,1.3,16.7,0.54,23.6,8.1,SG,27,PHO,7,38.7,0.477,0.0,0.488,5.6,0.769,3.6,4.0,22.3,-1.1,16.2,0.523,25.3,0.3
58,1982,Eddie Johnson,SG,26,ATL,68,34.0,0.45,0.233,0.457,5.7,0.764,2.7,2.8,17.8,1.2,16.5,0.513,25.6,4.8,SG,26,ATL,2,33.5,0.346,,0.346,2.0,1.0,3.5,4.0,11.0,-8.0,5.1,0.396,24.3,-0.2
59,1982,Eddie Johnson,SF,22,KCK,74,20.5,0.459,0.091,0.465,2.0,0.664,1.3,2.8,9.3,-2.4,13.1,0.487,21.7,1.8,SG,26,ATL,2,33.5,0.346,,0.346,2.0,1.0,3.5,4.0,11.0,-8.0,5.1,0.396,24.3,-0.2
60,1982,Frank Johnson,PG,23,WSB,79,25.7,0.414,0.215,0.435,2.6,0.75,2.0,2.5,10.7,-1.8,12.0,0.467,21.9,2.1,PG,23,WSB,7,40.0,0.385,0.417,0.38,4.0,0.857,4.1,3.4,15.6,0.5,12.0,0.469,21.7,0.2
61,1982,George Johnson,C,33,SAS,75,21.0,0.467,,0.467,0.9,0.672,1.2,3.5,3.0,0.4,10.6,0.504,7.9,2.5,C,33,SAS,9,19.4,0.5,,0.5,0.6,0.6,0.4,3.8,1.2,1.0,8.9,0.539,3.2,0.3
62,1982,George Johnson,PF,25,IND,59,12.2,0.412,0.0,0.415,1.4,0.75,1.2,2.5,5.1,-4.1,12.3,0.46,22.8,0.6,C,33,SAS,9,19.4,0.5,,0.5,0.6,0.6,0.4,3.8,1.2,1.0,8.9,0.539,3.2,0.3
64,1982,Magic Johnson,SG,22,LAL,78,38.3,0.537,0.207,0.546,5.6,0.76,3.7,2.9,18.6,7.2,22.9,0.59,20.1,12.9,SG,22,LAL,14,40.1,0.529,0.0,0.542,6.6,0.828,3.1,3.6,17.4,8.2,22.5,0.614,16.9,2.7
65,1982,Marques Johnson,SF,25,MIL,60,31.7,0.532,0.0,0.534,4.3,0.7,2.4,2.4,16.5,2.9,18.0,0.566,22.1,6.2,SF,25,MIL,6,39.2,0.44,0.25,0.448,7.0,0.571,2.0,4.2,18.8,-0.3,15.1,0.477,23.5,0.3
67,1982,Bobby Jones,PF,30,PHI,76,28.7,0.564,0.0,0.567,4.4,0.79,1.9,2.8,14.4,4.1,19.3,0.62,19.6,8.2,PF,30,PHI,21,28.0,0.54,,0.54,3.9,0.84,1.6,3.3,12.2,3.7,16.5,0.611,17.2,2.0
68,1982,Caldwell Jones,C,31,PHI,81,30.2,0.497,0.0,0.5,2.7,0.817,1.9,3.7,7.9,-1.1,11.3,0.571,12.2,5.2,C,31,PHI,21,32.3,0.463,,0.463,2.0,0.854,1.4,3.7,8.7,0.0,11.7,0.514,12.8,1.4
70,1982,Rich Kelley,C,28,PHO,81,23.4,0.467,0.0,0.468,2.8,0.749,3.0,3.6,7.9,-0.4,12.5,0.53,18.5,2.5,C,28,PHO,7,27.3,0.5,,0.5,2.9,0.7,1.7,3.6,9.7,0.4,15.4,0.541,15.4,0.4
72,1982,Albert King,SF,22,NJN,76,22.3,0.482,0.231,0.486,2.3,0.778,2.4,3.4,12.1,-1.7,13.5,0.517,25.1,2.4,SF,22,NJN,2,29.0,0.545,,0.545,2.5,0.8,2.5,4.0,20.0,8.2,23.7,0.568,29.7,0.2
75,1982,Mark Landsberger,PF,26,LAL,75,15.1,0.438,0.0,0.44,0.9,0.508,0.7,1.8,4.3,-4.8,10.3,0.449,14.2,1.7,PF,26,LAL,9,6.7,0.333,,0.333,1.0,0.444,0.4,1.3,1.1,-7.4,5.3,0.386,11.1,0.0
76,1982,Bob Lanier,C,33,MIL,74,26.8,0.558,0.0,0.56,3.3,0.752,2.2,2.9,13.5,2.9,17.4,0.596,20.7,6.6,C,33,MIL,6,35.3,0.513,0.0,0.519,4.2,0.56,2.3,3.5,16.0,2.9,17.3,0.527,21.0,0.4
77,1982,Allen Leavell,PG,24,HOU,79,27.2,0.467,0.29,0.474,1.7,0.852,1.9,2.3,10.9,2.1,16.4,0.507,19.1,4.8,PG,24,HOU,3,31.0,0.426,0.0,0.435,0.7,1.0,1.7,3.0,14.0,-0.4,12.7,0.439,25.1,0.0
78,1982,Alton Lister,C,23,MIL,80,14.8,0.519,,0.519,1.5,0.52,1.6,3.0,4.5,-1.6,11.5,0.531,16.3,1.7,C,23,MIL,6,18.7,0.583,,0.583,1.2,0.714,1.5,3.8,5.5,0.6,13.0,0.609,13.7,0.1
79,1982,John Lucas,PG,28,WSB,79,24.6,0.426,0.091,0.438,2.2,0.784,2.0,1.3,8.4,1.7,15.2,0.479,18.4,3.9,PG,28,WSB,7,10.6,0.538,0.333,0.565,0.4,0.667,0.6,0.9,4.4,7.9,20.1,0.567,17.7,0.3
81,1982,Kyle Macy,PG,24,PHO,82,34.7,0.514,0.39,0.529,2.1,0.899,1.5,2.3,14.2,2.0,15.7,0.57,16.6,9.2,PG,24,PHO,7,34.7,0.427,0.364,0.436,2.3,0.938,1.9,3.0,13.6,-4.0,11.3,0.495,17.6,0.1
82,1982,Rick Mahorn,PF,23,WSB,80,33.3,0.507,0.0,0.509,2.9,0.632,2.0,4.4,12.2,0.2,13.3,0.531,17.0,5.9,PF,23,WSB,7,34.6,0.438,,0.438,2.0,0.714,2.3,4.3,10.6,0.4,10.9,0.467,16.5,0.3
83,1982,Moses Malone,C,26,HOU,81,42.0,0.519,0.0,0.52,10.2,0.762,3.6,2.6,31.1,4.5,26.8,0.576,29.9,15.4,C,26,HOU,3,45.3,0.433,,0.433,5.0,0.933,2.0,2.7,24.0,5.9,24.3,0.489,25.9,0.5
84,1982,Wes Matthews,PG,22,ATL,47,17.8,0.44,0.25,0.445,1.7,0.759,1.3,2.7,6.9,-1.0,12.6,0.487,20.5,1.3,PG,22,ATL,2,14.0,0.2,,0.2,2.0,1.0,1.0,2.0,4.0,-7.9,3.1,0.34,23.0,-0.1
85,1982,Cedric Maxwell,SF,26,BOS,78,33.2,0.548,0.0,0.551,6.1,0.747,2.2,3.4,14.8,2.2,16.0,0.616,17.2,9.1,SF,26,BOS,12,32.1,0.517,,0.517,5.8,0.714,2.0,3.3,14.5,5.4,18.0,0.577,18.5,1.6
87,1982,Bob McAdoo,C,30,LAL,41,18.2,0.458,0.0,0.465,3.1,0.714,1.2,2.7,9.6,-2.7,14.4,0.509,23.2,1.5,C,30,LAL,14,27.7,0.564,,0.564,3.4,0.681,2.5,3.1,16.7,1.7,18.4,0.586,23.8,1.0
88,1982,Mike McGee,SF,22,LAL,39,9.0,0.465,0.0,0.476,1.4,0.585,0.9,1.5,4.9,-5.1,11.7,0.489,25.9,0.2,SF,22,LAL,4,2.5,0.462,0.0,0.5,0.0,,0.3,0.3,3.0,-6.7,24.6,0.462,55.0,0.0
89,1982,Kevin McHale,PF,24,BOS,82,28.4,0.531,,0.531,3.0,0.754,1.7,3.2,13.6,1.5,16.9,0.568,19.3,7.5,PF,24,BOS,12,28.7,0.575,,0.575,4.4,0.755,1.3,3.7,16.2,6.1,22.0,0.617,20.5,1.8
92,1982,Mike Mitchell,SF,26,TOT,84,36.5,0.51,0.0,0.512,3.6,0.728,1.8,3.3,20.5,-1.4,15.9,0.536,23.2,5.9,SF,26,SAS,9,40.6,0.533,,0.533,6.3,0.754,2.7,2.4,24.8,0.0,16.7,0.575,23.5,0.8
94,1982,Sidney Moncrief,SG,24,MIL,80,37.3,0.523,0.071,0.529,7.2,0.817,2.6,2.6,19.8,4.8,20.1,0.601,21.0,13.4,SG,24,MIL,6,42.0,0.419,0.0,0.425,6.3,0.789,2.0,3.7,15.3,0.4,13.1,0.507,17.3,0.4
